edunum	position	chars	words	zwords	parentnum	dist	zdist	children	zchildren
8	0.08602150537634409	55	11	-2.3477803024933364	7	1	-1.3891131032605195	2	-0.267696166922533
11	0.11827956989247312	152	29	22.370359486021417	8	3	0.8192205480767163	6	15.794073848429397
20	0.21505376344086022	55	14	1.7719096622591233	7	13	11.860888804762896	4	7.763188840753433
17	0.1827956989247312	62	13	0.3986796740083034	20	-3	-5.805780405934991	1	-4.283138670760516
22	0.23655913978494625	71	14	1.7719096622591233	20	2	-0.2849462775919016	1	-4.283138670760516
23	0.24731182795698925	45	9	-5.094240278994976	22	1	-1.3891131032605195	2	-0.267696166922533
31	0.3333333333333333	22	5	-10.587160231998254	7	24	24.006723887117694	8	23.824958856105365
27	0.2903225806451613	54	9	-5.094240278994976	31	-4	-6.909947231603608	1	-4.283138670760516
30	0.3225806451612903	91	16	4.518369638760762	31	-1	-3.597446754597755	1	-4.283138670760516
32	0.34408602150537637	34	7	-7.840700255496615	31	1	-1.3891131032605195	1	-4.283138670760516
33	0.3548387096774194	52	10	-3.721010290744156	32	1	-1.3891131032605195	1	-4.283138670760516
34	0.3655913978494624	133	24	15.50420954476732	33	1	-1.3891131032605195	1	-4.283138670760516
38	0.40860215053763443	45	9	-5.094240278994976	39	-1	-3.597446754597755	1	-4.283138670760516
36	0.3870967741935484	218	40	37.475889356780435	38	-2	-4.701613580266373	1	-4.283138670760516
39	0.41935483870967744	57	14	1.7719096622591233	31	8	6.340054676419806	3	3.7477463369154496
40	0.43010752688172044	86	16	4.518369638760762	39	1	-1.3891131032605195	3	3.7477463369154496
44	0.4731182795698925	36	9	-5.094240278994976	40	4	1.9233873737453342	2	-0.267696166922533
45	0.4838709677419355	101	23	14.130979556516502	44	1	-1.3891131032605195	2	-0.267696166922533
48	0.5161290322580645	113	23	14.130979556516502	45	3	0.8192205480767163	1	-4.283138670760516
54	0.5806451612903226	26	6	-9.213930243747436	39	15	14.069222456100132	3	3.7477463369154496
51	0.5483870967741935	63	15	3.145139650509943	49	2	-0.2849462775919016	1	-4.283138670760516
49	0.5268817204301075	66	14	1.7719096622591233	54	-5	-8.014114057272227	1	-4.283138670760516
53	0.5698924731182796	124	25	16.87743953301814	54	-1	-3.597446754597755	1	-4.283138670760516
56	0.6021505376344086	66	14	1.7719096622591233	54	2	-0.2849462775919016	1	-4.283138670760516
58	0.6236559139784946	66	14	1.7719096622591233	61	-3	-5.805780405934991	1	-4.283138670760516
61	0.6559139784946236	54	10	-3.721010290744156	31	30	30.6317248411294	4	7.763188840753433
60	0.6451612903225806	20	6	-9.213930243747436	61	-1	-3.597446754597755	1	-4.283138670760516
64	0.6881720430107527	44	12	-0.9745503142425164	62	2	-0.2849462775919016	1	-4.283138670760516
62	0.6666666666666666	58	13	0.3986796740083034	61	1	-1.3891131032605195	1	-4.283138670760516
66	0.7096774193548387	76	16	4.518369638760762	61	5	3.027554199413952	3	3.7477463369154496
67	0.7204301075268817	33	7	-7.840700255496615	66	1	-1.3891131032605195	2	-0.267696166922533
70	0.7526881720430108	81	19	8.638059603513222	66	4	1.9233873737453342	2	-0.267696166922533
75	0.8064516129032258	37	11	-2.3477803024933364	31	44	46.09006040049005	3	3.7477463369154496
77	0.8279569892473119	36	7	-7.840700255496615	79	-2	-4.701613580266373	2	-0.267696166922533
79	0.8494623655913979	60	14	1.7719096622591233	75	4	1.9233873737453342	2	-0.267696166922533
82	0.8817204301075269	31	7	-7.840700255496615	87	-5	-8.014114057272227	1	-4.283138670760516
87	0.9354838709677419	46	10	-3.721010290744156	31	56	59.34006230851347	5	11.778631344591416
83	0.8924731182795699	36	9	-5.094240278994976	87	-4	-6.909947231603608	2	-0.267696166922533
88	0.946236559139785	39	7	-7.840700255496615	87	1	-1.3891131032605195	2	-0.267696166922533
90	0.967741935483871	90	15	3.145139650509943	88	2	-0.2849462775919016	1	-4.283138670760516
93	1.0	96	20	10.011289591764042	87	6	4.1317210250825696	1	-4.283138670760516
15	0.15151515151515152	31	5	-9.760762249822688	0	0	-2.3142730814816317	11	28.5071532077691
2	0.020202020202020204	28	7	-6.0935308922042974	15	-13	-20.58709182913108	1	-4.072450458252729
8	0.08080808080808081	20	6	-7.927146571013493	11	-3	-6.531077407862273	1	-4.072450458252729
6	0.06060606060606061	26	6	-7.927146571013493	8	-2	-5.125475965735392	1	-4.072450458252729
11	0.1111111111111111	102	20	17.743472932315246	15	-4	-7.936678849989153	4	5.70143064155382
9	0.09090909090909091	115	23	23.244319968742836	11	-2	-5.125475965735392	1	-4.072450458252729
16	0.16161616161616163	55	11	1.2409318230324855	15	1	-0.9086716393547509	1	-4.072450458252729
17	0.1717171717171717	70	17	12.24262589588766	16	1	-0.9086716393547509	1	-4.072450458252729
28	0.2828282828282828	43	8	-4.259915213395102	15	13	15.958545666167815	5	8.959391008156004
20	0.20202020202020202	74	12	3.074547501841681	28	-8	-13.559084618496676	2	-0.8144900916505458
24	0.24242424242424243	63	14	6.741778859460073	28	-4	-7.936678849989153	2	-0.8144900916505458
26	0.26262626262626265	59	10	-0.5926838557767103	28	-2	-5.125475965735392	1	-4.072450458252729
32	0.32323232323232326	13	3	-13.427993607441081	28	4	3.308132687025891	4	5.70143064155382
